Sort_Order,Full_Species,Species_ID,Parent_ID,English_Name,French_Name,Spanish_Name,Scientific_Name,CDN_Status,Origin,Comment,Avibase_ID,Avibase_Status,WildSpecies_2015,COSEWIC_Species,SARA_Species,2015_MBCA_List,MBCA_Family,Family_Sci,Family_Sci_FR,Family_CmName_EN,Family_CmName_FR,Subfamily,Order,Prev_Species_ID,Prev_CND_Status,Prev_Names_Sci_EN_FR,Technical_Committees,Alpha_Code_BBL,Alpha_Code_FR,BBL_Number,BBS_Number
1,Yes,HITI,,Highland Tinamou,Tinamou de Bonaparte,Tinam£ Serrano,Nothocercus bonapartei,DNO,,,66C31E09F8C285D6,,,No,No,No,No,Tinamidae,TinamidÇs,Tinamous,Tinamous,,Tinamiformes,,,,N/A,,,,
2,Yes,GRTI,,Great Tinamou,Grand Tinamou,Tinam£ Mayor,Tinamus major,DNO,,,42D72AE118D2DE82,,,No,No,No,No,Tinamidae,TinamidÇs,Tinamous,Tinamous,,Tinamiformes,,,,N/A,,,,10010
3,Yes,LITI,,Little Tinamou,Tinamou soui,Tinam£ Menor,Crypturellus soui,DNO,,,39DD9DD76680A7F0,,,No,No,No,No,Tinamidae,TinamidÇs,Tinamous,Tinamous,,Tinamiformes,,,,N/A,,,,10030
4,Yes,THTI,,Thicket Tinamou,Tinamou cannelle,Tinam£ Canelo,Crypturellus cinnamomeus,DNO,,,AAB5CEED3FC9EDE1,,,No,No,No,No,Tinamidae,TinamidÇs,Tinamous,Tinamous,,Tinamiformes,,,,N/A,,,,40080
5,Yes,SBTI,,Slaty-breasted Tinamou,Tinamou de Boucard,Tinam£ Jamuey,Crypturellus boucardi,DNO,,,5183B60E14DE99FD,,,No,No,No,No,Tinamidae,TinamidÇs,Tinamous,Tinamous,,Tinamiformes,,,,N/A,,,,10050
6,Yes,CHTI,,Choco Tinamou,Tinamou de Kerr,Tinam£ del Choc¢,Crypturellus kerriae,DNO,,,2ED97B5485B54942,,,No,No,No,No,Tinamidae,TinamidÇs,Tinamous,Tinamous,,Tinamiformes,COTI,,,N/A,,,,
7,Yes,WFWD,,White-faced Whistling-Duck,Dendrocygne veuf,Suirir° Cariblanco,Dendrocygna viduata,DNO,,,A534AFEA126DBD62,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,,N/A,,,,
8,Yes,BBWD,,Black-bellied Whistling-Duck,Dendrocygne Ö ventre noir,Pijije Alas Blancas,Dendrocygna autumnalis,ACC,,,C01A22D6C148AC65,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,"Black-bellied Whistling Duck, Black-bellied Tree Duck",WF,BBWD,,1770,01770
9,Yes,WIWD,,West Indian Whistling-Duck,Dendrocygne des Antilles,Suirir° Yaguaza,Dendrocygna arborea,DNO,,,DC65FCE73C5A66BA,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,,N/A,WIWD,,1771,10200
10,Yes,FUWD,,Fulvous Whistling-Duck,Dendrocygne fauve,Pijije Canelo,Dendrocygna bicolor,ACC,,,9A60617EE376ABE9,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Dendrocygninae,Anseriformes,,,,WF,FUWD,,1780,01780
11,Yes,EMGO,,Emperor Goose,Oie empereur,Ansar Emperador,Anser canagicus,ACC,,Formerly placed in the genus Chen.,1E6F0F8D43759948,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Philacte canagica, Chen canagica",WF,EMGO,,1760,01760
12,Yes,SNGO,,Snow Goose,Oie des neiges,Ganso Blanco,Anser caerulescens,BRE,,Formerly placed in the genus Chen.,D3A260BCA65503C6,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Chen hyperboreus hyperboreus, Chen caerulescens, Lesser Snow Goose",WF,,OINE,,01690
12.1,No,SNGO_GRE,SNGO,Greater Snow Goose,Grande Oie des neiges,Ganso Blanco,Anser caerulescens atlanticus,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Chen hyperboreus nivalis, Chen caerulescens",WF,GSGO,,1699,
12.12,No,GSGW,SNGO,Greater Snow Goose - white morph,Grande Oie des neiges,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,SNGO_GWH,,Chen caerulescens,WF,SNGO,,1699,
12.13,No,GSGB,SNGO,Greater Snow Goose - blue morph,Grande Oie des neiges - phase bleue,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,SNGO_GBL,,Chen caerulescens,WF,BLGO,,1691,
12.14,No,GSGI,SNGO,Greater Snow Goose - intermediate morph,Grande Oie des neiges - phase intermÇdiaire,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,SNGO_GIN,,Chen caerulescens,WF,SNGO,,1695,
12.2,No,SNGO_LES,SNGO,Lesser Snow Goose,Petite Oie des neiges,Ganso Blanco,Anser caerulescens caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen caerulescens,WF,LSGO,,1690,
12.21,No,LSGW,SNGO,Lesser Snow Goose - white morph,Petite Oie des neiges,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,SNGO_LES,,Chen caerulescens,WF,LSGO,,1690,
12.22,No,LSGB,SNGO,Lesser Snow Goose - blue form,Petite Oie des neiges - phase bleue,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,SNGO_LBL,,Chen caerulescens,WF,BLGO,,1691,
12.23,No,LSGI,SNGO,Lesser Snow Goose - intermediate morph,Petite Oie des neiges - phase intermÇdiaire,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen caerulescens,WF,SBGI,,1695,
12.24,No,SNGO_LWA,SNGO,Lesser Snow Goose - Western Arctic population,Petite Oie des neiges - population de l'ouest de l'arctique,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen caerulescens,WF,,,,
12.25,No,SNGO_LMC,SNGO,Lesser Snow Goose - Mid-continent population,Petite Oie des neiges - population du centre du continent,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen caerulescens,WF,,,,
12.26,No,SNGO_LWC,SNGO,Lesser Snow Goose - Western Central Flyway population,Petite Oie des neiges - population de la partie occidentale de la voie migratoire centrale,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen caerulescens,WF,,,,
12.27,No,SNGO_LWI,SNGO,Lesser Snow Goose - Wrangel Island population,Petite Oie des neiges - population de l'åle Wrangel,Ganso Blanco,Anser caerulescens,RNB,,"Nest on Wrangel Island, Russia, northeast of the Russian mainland. An increasing proportion of Wrangel Island geese winter in the Fraser and Skagit River delta areas of Washington and BC.",,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen caerulescens,WF,,,,
12.3,No,SNGO_BLU,SNGO,Snow Goose - blue morph,Oie des neiges - phase bleue,Ganso Blanco,Anser caerulescens,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Chen caerulescens, Blue Goose",WF,BLGO,,1691,01691
13,Yes,ROGO,,Ross's Goose,Oie de Ross,Ganso de Ross,Anser rossii,BRE,,Endemic breeder. Formerly placed in the genus Chen.,7A24F57F87F66E97,Breeding endemic,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Chen rossii,WF,ROGO,,1700,01700
13.555,No,SRGO,,Snow x Ross's Goose hybrid,Hybride d'Oie des neiges et d'Oie de Ross,,Anser caerulescens x rossii,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,SRGH,,Chen caerulescens,WF,SRGH,,1703,
14,Yes,GRGO,,Graylag Goose,Oie cendrÇe,Ansar Com£n,Anser anser,ACC,,,4AED44E819A43204,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,20600
15,Yes,GWFG,,Greater White-fronted Goose,Oie rieuse,Ganso Careto Mayor,Anser albifrons,BRE,,,466E9077BE220EBE,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,GWFG,OIRI,1710,01710
15.1,No,GWFG_MCO,GWFG,Greater White-fronted Goose - Mid-continent population,Oie rieuse - population du centre du continent,Ganso Careto Mayor,Anser albifrons,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
15.2,No,GWFG_PAC,GWFG,Greater White-fronted Goose - Pacific Flyway,Oie rieuse du Pacifique,Ganso Careto Mayor,Anser albifrons,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
15.3,No,GWFG_TUL,GWFG,Greater White-fronted Goose - Tule population,Oie rieuse de TulÇ,Ganso Careto Mayor,Anser albifrons,RNB,,Breed in the Cook Inlet and associated drainages in Alaska though the breeding range has not been fully defined and additional nesting areas likely exist.,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,TWFG,,1719,
16,Yes,LWFG,,Lesser White-fronted Goose,Oie naine,Ansar Chico,Anser erythropus,UNK,,Avibase records from BC.,184D232983E7AD10,Escaped from captivity or non-established exotic,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,DNO_2019,,N/A,LWFG,,1713,01713
17,Yes,TABG,,Taiga Bean-Goose,Oie des moissons,Ansar Campestre,Anser fabalis,ACC,,"Bean Goose has 2 distinct varieties, 1 inhabiting taiga and 1 inhabiting tundra. These are recognised as separate species by the AOU, but are considered a single species by other authorities.",BDB497A352D152DB,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Bean Goose,WF,TABG,,1711,
18,Yes,TUBG,,Tundra Bean-Goose,Oie de la toundra,?nsar Campestre de la Tundra,Anser serrirostris,ACC,,"Bean Goose has 2 distinct varieties, 1 inhabiting taiga and 1 inhabiting tundra. These are recognised as separate species by the AOU, but are considered a single species by other authorities.",AD849FCBCC68A520,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Anser fabalis, Bean Goose, Oie des moissons",WF,,,,
18.1,No,BEGO,,Bean-Goose (Taiga/Tundra),Oie des moissons,,Anser sp.,ACC,,AOU has split the species into 2 but BBO maintains BEGO for the moment.,,,,No,No,No,Yes,Anatidea,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,01711
19,Yes,PFGO,,Pink-footed Goose,Oie Ö bec court,Ansar Piquicorto,Anser brachyrhynchus,ACC,,,AFA7EE7470F000E9,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,PFGO,,1712,01712
20,Yes,BRAN,,Brant,Bernache cravant,Ganso de Collar,Branta bernicla,BRE,,,3E04020B54C14FCC,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,BECR,,01730
20.1,No,BLBR,BRAN,Black Brant,Bernache noire,Ganso de Collar,Branta bernicla nigricans,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,BRAN_BLA,,,WF,BLBR,,1740,01740
20.2,No,ATBR,BRAN,Atlantic Brant,Bernache cravant de l'Atlantique,Ganso de Collar,Branta bernicla bernicla,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,BRAN_ATL,,,WF,ATBR,,1730,
20.3,No,BRAN_EHA,BRAN,Brant - Eastern High Arctic population,Bernache cravant de l'est de l'Extràme-Arctique,Ganso de Collar,Branta bernicla,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
20.4,No,BRAN_PAC,BRAN,Brant - Pacific population,Bernache cravant du Pacifique,Ganso de Collar,Branta bernicla,BRE,,Includes Black Brant and Western High Arctic Brant.,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
20.5,No,BRAN_WHA,BRAN,Brant - Western High Arctic population,Bernache cravant de l'ouest de l'Extràme-Arctique,Ganso de Collar,Branta bernicla,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
20.555,No,BRIN,BRAN,Black x Atlantic Brant intergrade,,,Branta nigricans x bernicla,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,BRAN_INT,,,WF,BABI,,1731,
21,Yes,BARG,,Barnacle Goose,Bernache nonnette,Barnacla Cariblanca,Branta leucopsis,ACC,,,3163ED86A508BB83,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,BRNG,,,WF,BRNG,,1750,01750
22,Yes,CACG,,Cackling Goose,Bernache de Hutchins,Ganso Canadiense Menor,Branta hutchinsii,BRE,,,60214D4970BA4158,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Branta canadensis, Canada Goose",WF,CACG,BEHU,1722,01725
22.1,No,ACGO,CACG,Cackling Goose - Aleutian race,Bernache de Hutchins - race des AlÇoutiennes,Ganso Canadiense Menor,Branta hutchinsii leucopareia,RNB,,"Breeds in Alaska; majority nests in the western Aleutian Islands (Alaska), with lesser numbers in the central Aleutians and small numbers in the Semidi Islands.",,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,CACG_ALE,,"Branta canadensis, Canada Goose",WF,ACGO,,1721,
22.2,No,MCGO,CACG,Cackling Goose - Cackling or Minima form,Bernache de Hutchins,Ganso Canadiense Menor,Branta hutchinsii minima,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,CACG_CAC,,"Branta canadensis minima, Canada Goose",WF,,,,
22.3,No,CACG_STG,CACG,Cackling Goose - Shortgrass Prairie population and Tallgrass Prairie population,Bernache de Hutchins des prairies Ö herbes courtes et des prairies Ö herbes hautes,Ganso Canadiense Menor,Branta hutchinsii hutchinsii,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Branta canadensis hutchinsii, Canada Goose",WF,,,,
22.4,No,CACG_TAV,CACG,Cackling Goose - Taverner's population,Bernache de Hutchins,Ganso Canadiense Menor,Branta hutchinsii taverneri,RNB,,"Breeds in Alaska; exact boundaries of the breeding range remain undetermined due to the close proximity, and possible overlap, of the breeding range of the similar-appearing Lesser Canada Goose.",,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Branta canadensis taverneri, Canada Goose",WF,,,,
23,Yes,CANG,,Canada Goose,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,B59E18633E2EFD25,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,CAGO,,,WF,CAGO,BECA,1720,01720
23.1,No,CANG_SBP,CANG,Canada Goose - Subarctic Breeding Populations,Bernache du Canada - populations se reproduisant dans la rÇgion subarctique,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.11,No,CANG_AFR,CANG,Canada Goose - Atlantic Flyway Resident population,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.12,No,CANG_ATL,CANG,Canada Goose - Atlantic population,Bernache du Canada de l'Atlantique,Ganso Canadiense Mayor,Branta canadensis interior,BRE,,Thought to be largely B. canadensis interior (CWS mig bird reg report).,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.13,No,CANG_DUS,CANG,Canada Goose - Dusky population,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.14,No,CANG_LES,CANG,Canada Goose - Lesser population,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis parvipes,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.15,No,CANG_MFG,CANG,Canada Goose - Mississippi Flyway Giant population,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.16,No,CANG_NAT,CANG,Canada Goose - North Atlantic population,Bernache du Canada - population de l'Atlantique Nord,Ganso Canadiense Mayor,Branta canadensis canadensis,BRE,,Thought to be largely B. canadensis canadensis (CWS mig bird reg report).,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.17,No,CANG_PAC,CANG,Canada Goose - Pacific population,Bernache du Canada - population du Pacifique,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.18,No,CANG_SHB,CANG,Canada Goose - Southern Hudson Bay population,Bernache du Canada - population du sud de la baie d'Hudson,Ganso Canadiense Mayor,Branta canadensis,BRE,,"Merges 3 previous populations: Eastern Prairie population, Mississippi Valley population, and Southern James Bay population.",,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.2,No,CANG_TBP,CANG,Canada Goose - Temperate Breeding Populations,Bernache du Canada - populations se reproduisant en zone tempÇrÇe,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.21,No,CANG_PTB,CANG,Canada Goose - Prairies Temperate Breeders,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis moffitti/maxima,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.22,No,CANG_QTB,CANG,Canada Goose - Quebec Temperate Breeders,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.23,No,CANG_OTB,CANG,Canada Goose - Ontario Temperate Breeders,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.24,No,CANG_MTB,CANG,Canada Goose - Maritimes Temperate Breeders,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
23.25,No,CANG_BCB,CANG,Canada Goose - Southern British Columbia Temperate Breeders,Bernache du Canada,Ganso Canadiense Mayor,Branta canadensis,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
24,Yes,HAGO,,Hawaiian Goose,Bernache nÇnÇ,Barnacla NenÇ,Branta sandvicensis,DNO,,,EDB18078B9A2C905,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Nene,N/A,HAGO,,1751,01751
24.555,No,OHGO,,Goose hybrid - other,Oie hybride - autre,,,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,OHGO,,1716,
25,Yes,MUSW,,Mute Swan,Cygne tuberculÇ,Cisne Vulgar,Cygnus olor,BRE,INT,Included in MBCA despite being non-native species; exception to the rule.,694C127A5D849FFE,Introduced and established,Not applicable,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,MUSW,CYTU,1782,01782
26,Yes,TRUS,,Trumpeter Swan,Cygne trompette,Cisne Trompetero,Cygnus buccinator,BRE,,,B86C504C5B960813,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Olor buccinator,WF,TRUS,CYTR,1810,01810
26.1,No,TRUS_ROC,TRUS,Trumpeter Swan - Rocky Mountain population,Cygne trompette des Montagnes Rocheuses,Cisne Trompetero,Cygnus buccinator,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
26.2,No,TRUS_INT,TRUS,Trumpeter Swan - Interior population,Cygne trompette,Cisne Trompetero,Cygnus buccinator,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
26.3,No,TRUS_PAC,TRUS,Trumpeter Swan - Pacific Coast population,Cygne trompette de la cìte du Pacifique,Cisne Trompetero,Cygnus buccinator,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
27,Yes,TUSW,,Tundra Swan,Cygne siffleur,Cisne de Tundra,Cygnus columbianus,BRE,,,0BCBA6B9CC19E7BA,Breeder,Secure,No,No,Yes,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Olor columbianus, Whistling Swan",WF,,CYSI,,01800
27.1,No,TUSW_EAS,TUSW,Tundra Swan - Eastern population,Cygne siffleur de l'est,Cisne de Tundra,Cygnus columbianus,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
27.2,No,TUSW_WES,TUSW,Tundra Swan - Western population,Cygne siffleur de l'ouest,Cisne de Tundra,Cygnus columbianus,BRE,,,,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,,,,
28,Yes,WHOS,,Whooper Swan,Cygne chanteur,Cisne Cantor,Cygnus cygnus,ACC,,,BDDB5670D2D20A55,Accidental,Not applicable,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,"Olor cygnus, Cygne sauvage",WF,WHOS,,1790,01790
29,Yes,CODU,,Comb Duck,Canard sylvicole,Pato Crestudo,Sarkidiornis sylvicola,DNO,,,6C8A4060DCC4781D,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,,"Sarkidiornis melanotos, Canard Ö bosse",N/A,,,,
30,Yes,ORGO,,Orinoco Goose,Ouette de l'OrÇnoque,Ganso del Orinoco,Neochen jubata,DNO,,,FA5A25B2FA057FE0,,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,,,N/A,,,,
31,Yes,EGGO,,Egyptian Goose,Ouette d'êgypte,Ganso del Nilo,Alopochen aegyptiaca,UNK,,Avibase records from ON and QC.,DA2F24E310CF72A6,Escaped from captivity or non-established exotic,,No,No,No,Yes,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,DNO_2019,,N/A,,,,20630
32,Yes,COMS,,Common Shelduck,Tadorne de Belon,Tarro Blanco,Tadorna tadorna,ACC,,"Added in 2018; listed as Accidental in AOU 59. Several records from NL, eastern Canada and mid-Atlantic region.",5EAB32D3007896F3,Accidental,,No,No,No,No,Anatidae,AnatidÇs,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,,,WF,,,,
